Date : 2025-04-08 22:49:09
Directory : c:\Users\user\Desktop\项目\chat-frontend
Total : 67 files,  6891 codes, 79 comments, 1194 blanks, all 8164 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\views\chat                                                                                     |          1 |          5 |          0 |          2 |          7 |
| src\views\contact                                                                                  |          1 |         75 |          1 |          3 |         79 |
| src\views\login                                                                                    |          1 |          5 |          0 |          2 |          7 |
| src\views\more_apps                                                                                |          1 |         29 |          0 |          1 |         30 |
| src\views\notification                                                                             |          1 |         31 |          0 |          1 |         32 |
| src\views\regist                                                                                   |          1 |          5 |          0 |          2 |          7 |
| src\views\self                                                                                     |          1 |         38 |          0 |          1 |         39 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                           | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\user\Desktop\项目\chat-frontend\README.md                                                   | Markdown           |         45 |          0 |         10 |         55 |
| c:\Users\user\Desktop\项目\chat-frontend\eslint.config.js                                            | JavaScript         |         27 |          0 |          2 |         29 |
| c:\Users\user\Desktop\项目\chat-frontend\index.html                                                  | HTML               |         13 |          0 |          1 |         14 |
| c:\Users\user\Desktop\项目\chat-frontend\package.json                                                | JSON               |         48 |          0 |          1 |         49 |
| c:\Users\user\Desktop\项目\chat-frontend\pnpm-lock.yaml                                              | YAML               |      3,225 |          0 |        840 |      4,065 |
| c:\Users\user\Desktop\项目\chat-frontend\public\vite.svg                                             | XML                |          1 |          0 |          0 |          1 |
| c:\Users\user\Desktop\项目\chat-frontend\src\components\Add_Main\index.tsx                           | TypeScript JSX     |         48 |          0 |          3 |         51 |
| c:\Users\user\Desktop\项目\chat-frontend\src\components\Chat_Main\FileUpload.tsx                     | TypeScript JSX     |         55 |          0 |          9 |         64 |
| c:\Users\user\Desktop\项目\chat-frontend\src\components\Chat_Main\UploadModal.tsx                    | TypeScript JSX     |         32 |          0 |          4 |         36 |
| c:\Users\user\Desktop\项目\chat-frontend\src\components\Chat_Main\index.tsx                          | TypeScript JSX     |        347 |         18 |         27 |        392 |
| c:\Users\user\Desktop\项目\chat-frontend\src\components\Chat_Main\style.ts                           | TypeScript         |        106 |          3 |         19 |        128 |
| c:\Users\user\Desktop\项目\chat-frontend\src\components\Collection\index.tsx                         | TypeScript JSX     |        131 |          7 |          9 |        147 |
| c:\Users\user\Desktop\项目\chat-frontend\src\components\FR_notification\index.css                    | CSS                |          3 |          0 |          1 |          4 |
| c:\Users\user\Desktop\项目\chat-frontend\src\components\FR_notification\index.tsx                    | TypeScript JSX     |        227 |          6 |         11 |        244 |
| c:\Users\user\Desktop\项目\chat-frontend\src\components\Friendship\AddFriendModal.tsx                | TypeScript JSX     |         60 |          0 |         10 |         70 |
| c:\Users\user\Desktop\项目\chat-frontend\src\components\Friendship\ContactList\FiriendCard\index.tsx | TypeScript JSX     |         90 |          2 |          4 |         96 |
| c:\Users\user\Desktop\项目\chat-frontend\src\components\Friendship\ContactList\index.tsx             | TypeScript JSX     |        136 |          7 |         10 |        153 |
| c:\Users\user\Desktop\项目\chat-frontend\src\components\Friendship\index.css                         | CSS                |         10 |          0 |          0 |         10 |
| c:\Users\user\Desktop\项目\chat-frontend\src\components\Friendship\index.tsx                         | TypeScript JSX     |        165 |          9 |         14 |        188 |
| c:\Users\user\Desktop\项目\chat-frontend\src\components\Group\AddMemberModal.tsx                     | TypeScript JSX     |         52 |          0 |         10 |         62 |
| c:\Users\user\Desktop\项目\chat-frontend\src\components\Group\CreateGroupModal.tsx                   | TypeScript JSX     |         51 |          0 |         10 |         61 |
| c:\Users\user\Desktop\项目\chat-frontend\src\components\Group\GroupList\GroupCard\index.tsx          | TypeScript JSX     |         66 |          2 |          4 |         72 |
| c:\Users\user\Desktop\项目\chat-frontend\src\components\Group\GroupList\index.tsx                    | TypeScript JSX     |        103 |          1 |          3 |        107 |
| c:\Users\user\Desktop\项目\chat-frontend\src\components\Group\JoinGroupModal.tsx                     | TypeScript JSX     |         52 |          0 |         10 |         62 |
| c:\Users\user\Desktop\项目\chat-frontend\src\components\Group\MembersModal.tsx                       | TypeScript JSX     |         78 |          0 |          9 |         87 |
| c:\Users\user\Desktop\项目\chat-frontend\src\components\Group\index.css                              | CSS                |          6 |          0 |          1 |          7 |
| c:\Users\user\Desktop\项目\chat-frontend\src\components\Group\index.tsx                              | TypeScript JSX     |        171 |          1 |         17 |        189 |
| c:\Users\user\Desktop\项目\chat-frontend\src\components\Login_Main\index.css                         | CSS                |         12 |          0 |          1 |         13 |
| c:\Users\user\Desktop\项目\chat-frontend\src\components\Login_Main\index.tsx                         | TypeScript JSX     |         67 |          0 |         11 |         78 |
| c:\Users\user\Desktop\项目\chat-frontend\src\components\Register_Main\UpdatePassword\index.css       | CSS                |         12 |          0 |          1 |         13 |
| c:\Users\user\Desktop\项目\chat-frontend\src\components\Register_Main\UpdatePassword\index.tsx       | TypeScript JSX     |        105 |          0 |         13 |        118 |
| c:\Users\user\Desktop\项目\chat-frontend\src\components\Register_Main\index.css                      | CSS                |         16 |          0 |          1 |         17 |
| c:\Users\user\Desktop\项目\chat-frontend\src\components\Register_Main\index.tsx                      | TypeScript JSX     |        122 |          0 |         18 |        140 |
| c:\Users\user\Desktop\项目\chat-frontend\src\components\Self_Main\HeadPicUpload.tsx                  | TypeScript JSX     |         53 |          6 |          7 |         66 |
| c:\Users\user\Desktop\项目\chat-frontend\src\components\Self_Main\UpdateInfo.tsx                     | TypeScript JSX     |        128 |          0 |         15 |        143 |
| c:\Users\user\Desktop\项目\chat-frontend\src\components\Self_Main\userCard\index.tsx                 | TypeScript JSX     |         56 |          0 |          4 |         60 |
| c:\Users\user\Desktop\项目\chat-frontend\src\components\TopBar\Create.tsx                            | TypeScript JSX     |         71 |          0 |          1 |         72 |
| c:\Users\user\Desktop\项目\chat-frontend\src\components\TopBar\index.tsx                             | TypeScript JSX     |          2 |          0 |          1 |          3 |
| c:\Users\user\Desktop\项目\chat-frontend\src\components\TopBar\searchBar.tsx                         | TypeScript JSX     |        101 |          5 |          5 |        111 |
| c:\Users\user\Desktop\项目\chat-frontend\src\main.tsx                                                | TypeScript JSX     |         25 |          1 |          2 |         28 |
| c:\Users\user\Desktop\项目\chat-frontend\src\router\index.tsx                                        | TypeScript JSX     |         60 |          0 |          1 |         61 |
| c:\Users\user\Desktop\项目\chat-frontend\src\services\chat\index.ts                                  | TypeScript         |          4 |          0 |          2 |          6 |
| c:\Users\user\Desktop\项目\chat-frontend\src\services\contact\index.ts                               | TypeScript         |         62 |          2 |         12 |         76 |
| c:\Users\user\Desktop\项目\chat-frontend\src\services\favor\index.ts                                 | TypeScript         |         18 |          0 |          4 |         22 |
| c:\Users\user\Desktop\项目\chat-frontend\src\services\file\index.ts                                  | TypeScript         |          4 |          0 |          2 |          6 |
| c:\Users\user\Desktop\项目\chat-frontend\src\services\index.ts                                       | TypeScript         |         37 |          1 |          7 |         45 |
| c:\Users\user\Desktop\项目\chat-frontend\src\services\login\index.ts                                 | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Users\user\Desktop\项目\chat-frontend\src\services\regist\index.ts                                | TypeScript         |         12 |          0 |          3 |         15 |
| c:\Users\user\Desktop\项目\chat-frontend\src\services\search\index.ts                                | TypeScript         |         26 |          0 |          5 |         31 |
| c:\Users\user\Desktop\项目\chat-frontend\src\services\self\index.ts                                  | TypeScript         |         24 |          0 |          6 |         30 |
| c:\Users\user\Desktop\项目\chat-frontend\src\services\types.ts                                       | TypeScript         |         13 |          0 |          1 |         14 |
| c:\Users\user\Desktop\项目\chat-frontend\src\utils\wei_ls.ts                                         | TypeScript         |         28 |          0 |          1 |         29 |
| c:\Users\user\Desktop\项目\chat-frontend\src\views\APP.css                                           | CSS                |          5 |          0 |          2 |          7 |
| c:\Users\user\Desktop\项目\chat-frontend\src\views\APP.tsx                                           | TypeScript JSX     |        215 |          1 |          3 |        219 |
| c:\Users\user\Desktop\项目\chat-frontend\src\views\add\index.tsx                                     | TypeScript JSX     |          5 |          0 |          2 |          7 |
| c:\Users\user\Desktop\项目\chat-frontend\src\views\chat\index.tsx                                    | TypeScript JSX     |          5 |          0 |          2 |          7 |
| c:\Users\user\Desktop\项目\chat-frontend\src\views\contact\index.tsx                                 | TypeScript JSX     |         75 |          1 |          3 |         79 |
| c:\Users\user\Desktop\项目\chat-frontend\src\views\login\index.tsx                                   | TypeScript JSX     |          5 |          0 |          2 |          7 |
| c:\Users\user\Desktop\项目\chat-frontend\src\views\more_apps\index.tsx                               | TypeScript JSX     |         29 |          0 |          1 |         30 |
| c:\Users\user\Desktop\项目\chat-frontend\src\views\notification\index.tsx                            | TypeScript JSX     |         31 |          0 |          1 |         32 |
| c:\Users\user\Desktop\项目\chat-frontend\src\views\regist\index.tsx                                  | TypeScript JSX     |          5 |          0 |          2 |          7 |
| c:\Users\user\Desktop\项目\chat-frontend\src\views\self\index.tsx                                    | TypeScript JSX     |         38 |          0 |          1 |         39 |
| c:\Users\user\Desktop\项目\chat-frontend\src\vite-env.d.ts                                           | TypeScript         |          0 |          1 |          1 |          2 |
| c:\Users\user\Desktop\项目\chat-frontend\tsconfig.app.json                                           | JSON               |         25 |          2 |          4 |         31 |
| c:\Users\user\Desktop\项目\chat-frontend\tsconfig.json                                               | JSON with Comments |          7 |          0 |          1 |          8 |
| c:\Users\user\Desktop\项目\chat-frontend\tsconfig.node.json                                          | JSON               |         20 |          2 |          3 |         25 |
| c:\Users\user\Desktop\项目\chat-frontend\vite.config.ts                                              | TypeScript         |         13 |          1 |          1 |         15 |
| Total                                                                                              |                    |      6,891 |         79 |      1,194 |      8,164 |
+----------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
